	subject_id	predicate_id	object_id	subject	object	predicate	value
0	http://www.bioassayontology.org/bao#BAO_0002540	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	ECL western blotting detection kit	assay kit	subClassOf	1
13	http://www.bioassayontology.org/bao#BAO_0010005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003003	single cell protein secretion microfluidic assay	cytokine secretion assay	subClassOf	1
14	http://www.bioassayontology.org/bao#BAO_0010009	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	physicochemical assay	bioassay	subClassOf	1
15	http://www.bioassayontology.org/bao#BAO_0010001	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003583	cell viability ATP quantitation assay	cell viability assay	subClassOf	1
23	http://purl.obolibrary.org/obo/CHMO_0000063	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000050	bioluminescence resonance energy transfer	bioluminescence	subClassOf	1
24	http://www.bioassayontology.org/bao#BAO_0000466	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000098	ex situ immunoassay	immunoassay	subClassOf	1
27	http://www.bioassayontology.org/bao#BAO_0003000	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	rna splicing assay	bioassay	subClassOf	1
29	http://www.bioassayontology.org/bao#BAO_0003001	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	sensitizer assay	bioassay	subClassOf	1
30	http://www.bioassayontology.org/bao#BAO_0003003	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	cytokine secretion assay	Cue Signal Response assay	subClassOf	1
31	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003004	phosphorylation assay	posttranslation modification assay	subClassOf	1
32	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	phosphorylation assay	Cue Signal Response assay	subClassOf	1
33	http://www.bioassayontology.org/bao#BAO_0003002	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	signal transduction assay	bioassay	subClassOf	1
34	http://purl.obolibrary.org/obo/OBI_0003583	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	cell viability assay	bioassay	subClassOf	1
36	http://www.bioassayontology.org/bao#BAO_0003008	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	transporter assay	bioassay	subClassOf	1
37	http://purl.obolibrary.org/obo/OBI_0002082	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010044	reporter gene assay	targeted transcriptional assay	subClassOf	1
